Date,Open,High,Low,Close,Adj Close,Volume,Change
2013-01-16,26200,26700,26050,26200,23390.66406,5710728,0.96
2013-01-17,26350,26350,25450,25900,23122.83203,4740181,-1.15
2013-01-18,26050,26150,25500,25600,22854.99609,5535797,-1.16
2013-01-21,25750,25850,25300,25750,22988.91406,3290771,0.59
2013-01-22,25500,25700,24850,25050,22363.9707,7131671,-2.72
2013-01-23,25050,25100,24600,24650,22006.86523,6601120,-1.6
2013-01-24,24600,24650,24050,24250,21649.75586,5978396,-1.62
2013-01-25,24300,24700,23800,24200,21605.11523,4979003,-0.21
2013-01-28,24150,24500,24000,24400,21783.66992,2564977,0.83
2013-01-29,24500,24550,24100,24200,21605.11523,4366129,-0.82
2013-01-30,24650,24950,24300,24350,21739.03125,5613343,0.62
2013-01-31,24400,24600,24200,24400,21783.66992,4329870,0.21
2013-02-01,24250,24450,24050,24200,21605.11523,4025938,-0.82
2013-02-04,24500,24600,24300,24300,21694.39453,2604422,0.41
2013-02-05,24050,24200,23600,23700,21158.72656,4574149,-2.47
2013-02-06,23850,24650,23800,24500,21872.94727,5764265,3.38
2013-02-07,24650,25000,24550,24850,22185.42188,4681401,1.43
2013-02-08,24850,25000,24550,24750,22096.14063,3258865,-0.4
2013-02-12,24950,25300,24800,25000,22319.33398,3432175,1.01
2013-02-13,25250,25600,25200,25500,22765.72266,4490716,2
2013-02-14,25550,25750,25350,25700,22944.27734,2859954,0.78
2013-02-15,25700,25750,25550,25650,22899.63672,2277981,-0.19
2013-02-18,25600,26000,25550,25900,23122.83203,2456890,0.97
2013-02-19,25800,26100,25750,25850,23078.18945,1779504,-0.19
2013-02-20,26250,26700,26200,26500,23658.49609,6657608,2.51
2013-02-21,26350,26650,26300,26600,23747.77344,2826255,0.38
2013-02-22,26400,26600,26300,26400,23569.21875,2689623,-0.75
2013-02-25,26500,26550,26050,26300,23479.93945,2604691,-0.38
2013-02-26,26100,26650,25850,26550,23703.13477,3772301,0.95
2013-02-27,26850,26950,26250,26250,23435.30078,3098659,-1.13
2013-02-28,26700,26750,26500,26500,23658.49609,4038185,0.95
2013-03-04,26600,26700,25900,26000,23212.10938,3753949,-1.89
2013-03-05,26400,27200,26400,27000,24104.88281,8141593,3.85
2013-03-06,27650,28200,27600,28000,24997.65625,11109877,3.7
2013-03-07,28100,28450,27850,28150,25131.56836,6588200,0.54
2013-03-08,28350,28400,27800,28250,25220.84961,3607159,0.36
2013-03-11,28250,28800,28200,28600,25533.32031,6597705,1.24
2013-03-12,28850,28900,28050,28100,25086.93359,3957978,-1.75
2013-03-13,28300,28550,28100,28300,25265.49023,2769799,0.71
2013-03-14,28450,29000,28400,28900,25801.15234,5071138,2.12
2013-03-15,29000,29200,28400,28800,25711.875,4473661,-0.35
2013-03-18,28550,28900,28400,28400,25354.76172,2926693,-1.39
2013-03-19,28800,28900,28350,28650,25577.96094,3232956,0.88
2013-03-20,28500,28850,28350,28600,25533.32031,2632433,-0.17
2013-03-21,28850,28900,28050,28050,25042.29297,3426566,-1.92
2013-03-22,27900,28450,27650,28300,25265.49023,3555515,0.89
2013-03-25,29050,29200,28850,29050,25935.06445,3959211,2.65
2013-03-26,29050,29500,29000,29500,26336.81445,5570927,1.55
2013-03-27,29600,29700,29200,29450,26292.17383,3184531,-0.17
2013-03-28,29450,29450,28950,29250,26113.62109,3223050,-0.68
2013-03-29,29500,29650,28750,28750,25667.23438,3045853,-1.71
2013-04-01,28900,29050,28600,28650,25577.96094,1972865,-0.35
2013-04-02,28750,28900,28350,28400,25354.76172,3577498,-0.87
2013-04-03,28600,29150,28550,28900,25801.15234,3584222,1.76
2013-04-04,28550,29200,28400,29200,26068.98047,4869239,1.04
2013-04-05,29300,29300,28350,28550,25488.67773,3681853,-2.23
2013-04-08,28600,28700,27800,27900,24908.375,4153747,-2.28
2013-04-09,27900,28200,27300,27800,24819.09961,4473759,-0.36
2013-04-10,28150,28200,27800,27950,24953.01758,2896417,0.54
2013-04-11,28450,29100,28300,29000,25890.42773,5236997,3.76
